identifier,value,partial_value
03.01.01,5,0
03.01.02,5,0
03.01.03,1,0
03.01.04,1,0
03.01.05,3,0
03.01.06,1,0
03.01.07,1,0
03.01.08,1,0
03.01.09,1,0
03.01.10,1,0
03.01.11,1,0
03.01.12,5,0
03.01.13,5,0
03.01.14,1,0
03.01.15,1,0
03.01.16,5,0
03.01.17,5,0
03.01.18,5,0
03.01.19,3,0
03.01.20,1,0
03.01.21,1,0
03.01.22,1,0
03.02.01,5,0
03.02.02,5,0
03.02.03,1,0
03.03.01,5,0
03.03.02,3,0
03.03.03,1,0
03.03.04,1,0
03.03.05,5,0
03.03.06,1,0
03.03.07,1,0
03.03.08,1,0
03.03.09,1,0
03.04.01,5,0
03.04.02,5,0
03.04.03,1,0
03.04.04,1,0
03.04.05,5,0
03.04.06,5,0
03.04.07,5,0
03.04.08,5,0
03.04.09,1,0
03.05.01,5,0
03.05.02,5,0
03.05.03,5,3
03.05.04,1,0
03.05.05,1,0
03.05.06,1,0
03.05.07,1,0
03.05.08,1,0
03.05.09,1,0
03.05.10,5,0
03.05.11,1,0
03.06.01,5,0
03.06.02,5,0
03.06.03,1,0
03.07.01,3,0
03.07.02,5,0
03.07.03,1,0
03.07.04,3,0
03.07.05,5,0
03.07.06,1,0
03.08.01,3,0
03.08.02,3,0
03.08.03,5,0
03.08.04,1,0
03.08.05,1,0
03.08.06,1,0
03.08.07,5,0
03.08.08,3,0
03.08.09,1,0
03.09.01,3,0
03.09.02,5,0
03.10.01,5,0
03.10.02,5,0
03.10.03,1,0
03.10.04,1,0
03.10.05,1,0
03.10.06,1,0
03.11.01,3,0
03.11.02,5,0
03.11.03,1,0
03.12.01,5,0
03.12.02,3,0
03.12.03,5,0
03.12.04,0,0
03.13.01,5,0
03.13.02,5,0
03.13.03,1,0
03.13.04,1,0
03.13.05,5,0
03.13.06,5,0
03.13.07,1,0
03.13.08,3,0
03.13.09,1,0
03.13.10,1,0
03.13.11,5,3
03.13.12,1,0
03.13.13,1,0
03.13.14,1,0
03.13.15,5,0
03.13.16,1,0
03.14.01,5,0
03.14.02,5,0
03.14.03,5,0
03.14.04,5,0
03.14.05,3,0
03.14.06,5,0
03.14.07,3,0
